salesorderid,revisionnumber,orderdate,duedate,shipdate,status,onlineorderflag,purchaseordernumber,accountnumber,customerid,salespersonid,territoryid,billtoaddressid,shiptoaddressid,shipmethodid,creditcardid,creditcardapprovalcode,currencyrateid,subtotal,taxamt,freight,totaldue,comment,rowguid,modifieddate
43890,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO2146115360,10-4020-000354,29515,278.0,6,504,504,5,14184.0,66771Vi73564,407.0,75191.9599,7234.307,2260.7209,84686.9878,,c52362a5-cf6f-40ec-8457-cabda3669c0e,2022-07-07
43891,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO2726163521,10-4020-000029,29807,282.0,6,449,449,5,13366.0,36797Vi69277,407.0,32569.104,3126.3148,976.9734,36672.3922,,4978ade9-d759-4925-b079-519498705b8f,2022-07-07
43892,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO2523117473,10-4020-000167,29716,281.0,4,1015,1015,5,13468.0,26813Vi69778,,16544.5461,1587.1682,495.9901,18627.7044,,386511b7-d278-479c-90b9-687ff0e045bd,2022-07-07
43893,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO2204129382,10-4020-000370,29905,282.0,6,505,505,5,18480.0,116815Vi96000,407.0,419.4589,40.2681,12.5838,472.3108,,f3afb011-5243-435c-9895-a520a4fc972d,2022-07-07
43894,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO2958194987,10-4020-000559,30004,280.0,1,892,892,5,4842.0,46884Vi25430,,32492.604,3118.7048,974.5952,36585.904,,bb847425-22c1-4432-bf39-88e9c7cee13a,2022-07-07
43895,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO2900121738,10-4020-000469,29742,280.0,1,884,884,5,11011.0,16890Vi56787,,32459.9278,3121.4886,975.4652,36556.8816,,d61f2967-42a7-4a54-88f8-b4bcbc0fab09,2022-07-07
43896,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO3857154341,10-4020-000256,29866,277.0,4,588,588,5,8991.0,128032Vi46347,,4345.8268,416.1227,130.0383,4891.9878,,a354325a-13fe-43d9-b860-2b1810a23f74,2022-07-07
43897,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO3799116239,10-4020-000312,29522,276.0,4,1040,1040,5,17861.0,68035Vi92659,,51235.0091,4912.9311,1535.291,57683.2312,,82e9aa48-eeaf-4923-ae61-431c2960d6b0,2022-07-07
43898,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO4901196283,10-4020-000084,29705,278.0,6,459,459,5,6452.0,48128Vi33489,407.0,50948.9161,4908.5808,1533.9315,57391.4284,,0ee148b4-365e-4998-9d71-fb0e3291701d,2022-07-07
43899,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO5191115657,10-4020-000364,29906,277.0,3,600,600,5,7475.0,128165Vi38744,,11942.5965,1147.8551,358.7047,13449.1563,,050e42cd-8a2b-45bb-b091-0a1e53be6db7,2022-07-07
43900,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO5568199700,10-4020-000422,29880,279.0,5,954,954,5,8663.0,78252Vi44710,,34628.298,3323.6782,1038.6494,38990.6256,,44f4e5a0-1e7e-4362-8143-a11764810619,2022-07-07
43901,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO5684189260,10-4020-000385,29901,276.0,4,1053,1053,5,9973.0,18266Vi51318,,22717.5954,2177.0702,680.3344,25575.0,,8d3da13b-2208-49ad-b99e-87006c7a7d2b,2022-07-07
43902,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO5858178400,10-4020-000566,29507,279.0,5,972,972,5,13160.0,48289Vi68229,,52803.4477,5091.7865,1591.1833,59486.4175,,f8f9c176-5e4a-4ba2-be54-f8ac8fd9ba73,2022-07-07
43903,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO5800178059,10-4020-000063,29968,279.0,5,915,915,5,13420.0,78316Vi69516,,20.1865,1.6149,0.5047,22.3061,,25285544-48e7-4a9c-823e-372feb4afadf,2022-07-07
43904,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO6351158788,10-4020-000255,30095,277.0,4,587,587,5,13104.0,108328Vi67850,,11361.2706,1093.5814,341.7442,12796.5962,,20411124-306d-497e-ac31-ee15849c39fe,2022-07-07
43905,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO6293113391,10-4020-000612,29846,279.0,5,979,979,5,10234.0,128341Vi52839,,9880.2666,950.9438,297.1699,11128.3803,,fb218b2c-568f-4635-93ab-fa5a5e75a45a,2022-07-07
43906,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO6438197212,10-4020-000309,29523,277.0,4,593,593,5,15321.0,48355Vi79183,,32971.323,3162.1366,988.1677,37121.6273,,474f9d4d-7522-4c5e-a134-bd9ccaab82a2,2022-07-07
43907,10,2022-06-30,2022-07-12,2022-07-07,5,false,PO6641115253,10-4020-000342,29791,275.0,2,792,792,5,4835.0,68422Vi25408,,14660.3024,1407.7759,439.93,16508.0083,,4cfdec28-e963-4a6f-b3fa-6f95a187c6e7,2022-07-07
