businessentityid,creditcardid,modifieddate
1706,6018,2025-06-14
1707,11094,2024-07-10
1708,4739,2024-12-31
1709,1994,2025-04-16
1710,1643,2023-07-11
1711,1934,2025-02-08
1712,7916,2023-08-02
1713,18844,2024-11-27
1714,10306,2025-06-17
1715,1433,2024-12-06
1716,1016,2025-04-30
1717,11004,2025-03-01
1718,9627,2025-03-22
1719,9055,2023-03-15
1720,2236,2023-07-09
1721,13828,2024-09-09
1722,18395,2024-04-07
1723,17144,2024-12-07
1724,9954,2023-09-01
1725,4694,2024-12-25
1726,6476,2025-01-05
1727,15706,2024-11-22
1728,17100,2024-12-22
1729,18632,2024-01-16
1730,17334,2023-02-27
1731,17851,2025-05-30
1732,10732,2022-12-20
1733,2352,2024-08-30
1734,12836,2025-02-17
1735,4285,2023-06-15
1736,3767,2024-05-02
1737,847,2024-08-30
1738,3571,2024-09-05
1739,92,2025-02-10
1740,18914,2023-12-08
1741,15389,2025-01-30
1742,5233,2025-02-16
1743,1405,2024-07-20
1744,15322,2025-03-27
1745,3396,2022-08-29
1746,749,2024-03-26
1747,11533,2024-12-13
1748,5229,2025-05-19
1749,8309,2024-07-09
1750,2583,2024-05-05
1751,3819,2025-03-19
1752,8584,2025-02-22
1753,7245,2025-03-19
1754,17325,2024-09-01
1755,9850,2023-05-27
1756,18892,2023-07-25
1757,15055,2023-12-07
1758,14908,2024-11-25
1759,9669,2024-11-13
1760,13682,2024-07-04
1761,16311,2025-01-27
1762,3868,2024-12-19
1763,7563,2025-01-26
1764,18984,2025-05-14
1765,2457,2024-10-29
1766,2911,2025-04-24
1767,9143,2025-05-01
1768,8711,2023-08-03
1769,16746,2022-09-15
1770,10049,2022-10-23
1771,9675,2025-05-13
1772,483,2024-10-31
1773,6545,2024-11-26
1774,17398,2023-10-26
1775,7173,2025-04-14
1776,5363,2024-05-02
1777,1488,2024-07-12
1778,14282,2024-09-20
1779,8017,2025-01-04
1780,17136,2024-05-19
1781,9580,2025-05-22
1782,4183,2024-03-11
1783,13094,2025-06-12
1784,15584,2023-02-20
1795,18037,2023-06-30
1797,5089,2023-07-31
1801,17263,2023-06-30
1803,15453,2024-07-30
1805,11599,2023-12-31
1807,10713,2024-07-30
1809,895,2024-07-30
1811,2058,2024-06-29
1813,5065,2024-06-29
1815,6546,2023-07-31
1817,13951,2024-07-30
1821,18656,2023-05-30
1823,2666,2023-12-31
1825,8784,2023-05-30
1827,10628,2022-06-30
1829,13971,2023-07-31
1831,18354,2023-06-30
1833,2658,2023-06-30
1835,9506,2023-07-31
1837,4626,2023-09-30
1839,14928,2023-05-30
1841,4304,2023-07-31
1843,1651,2023-07-31
1845,18825,2024-05-29
1849,13349,2022-05-30
1851,1446,2024-07-30
1855,14226,2024-06-29
1857,14975,2023-06-30
1859,1896,2022-06-30
1861,1324,2023-05-30
1863,3088,2022-09-30
1865,14595,2024-06-29
1867,15155,2023-06-30
1869,2318,2024-06-29
1871,9141,2024-06-29
1873,1444,2024-06-29
1875,11685,2023-04-30
1877,1862,2023-05-30
1879,2880,2024-07-30
1881,3980,2022-05-30
1883,7079,2022-07-31
1885,5666,2024-07-30
1887,15177,2024-05-29
1889,17491,2024-07-30
1891,10343,2024-07-30
1893,5804,2024-06-29
1895,18260,2022-06-30
1897,2571,2023-05-30
1899,4941,2022-06-30
1901,9959,2023-06-30
1903,1772,2024-06-29
1905,206,2024-10-29
1909,8263,2024-07-30
1911,10928,2024-10-29
1913,10305,2024-07-30
1915,3653,2023-07-31
1917,2519,2022-05-30
1923,12671,2023-06-30
1925,10156,2024-06-29
1927,11119,2024-07-30
1929,17915,2022-07-31
1931,4385,2024-07-30
1933,7126,2022-07-31
1935,6005,2022-06-30
1937,5467,2024-07-30
1939,11050,2024-06-29
1943,3059,2023-06-30
1945,13104,2022-06-30
1947,10,2022-08-30
1949,11179,2024-07-30
1951,4260,2023-05-30
1953,12779,2024-04-29
1955,3368,2022-06-30
1957,4855,2024-06-29
1959,4834,2023-10-30
1961,336,2023-06-30
1963,10422,2023-05-30
1965,14468,2023-07-31
1967,7160,2022-07-31
1969,6386,2022-06-30
1971,8292,2023-06-30
1975,17645,2023-05-30
1977,14133,2023-07-31
1979,569,2022-06-30
1981,9635,2023-06-30
1983,11645,2023-07-31
1985,12746,2023-05-30
1987,18911,2023-06-30
1989,11416,2024-05-29
1991,4623,2022-06-30
1993,16569,2023-07-31
2380,6791,2025-06-27
2381,13962,2025-04-19
2382,5196,2025-02-10
2383,1657,2025-01-04
2384,2391,2024-01-21
2385,10676,2025-02-14
2386,6465,2025-05-13
2387,759,2022-10-12
2388,14128,2024-01-20
2389,18606,2024-09-03
2390,12157,2023-11-17
2391,17735,2023-04-20
2392,3924,2024-03-31
2393,11415,2022-12-15
2394,175,2023-07-20
2395,9529,2024-05-12
2396,3824,2024-08-19
2397,12128,2024-10-05
2398,12978,2023-07-17
2399,5857,2022-11-26
2400,18171,2024-12-04
2401,3316,2025-05-14
2402,17464,2023-03-26
2403,17903,2024-05-18
2404,528,2023-07-12
2405,730,2025-06-04
2406,9249,2024-11-11
2407,7601,2025-05-21
2408,2902,2024-09-17
2409,16032,2022-07-20
2410,11144,2022-12-27
2411,2529,2025-06-03
2412,8590,2024-07-30
2413,11164,2025-02-15
2414,11294,2025-01-20
2415,4817,2024-09-26
2416,9099,2025-03-27
2417,2828,2025-03-01
2418,16443,2025-06-27
2419,12335,2024-11-17
2420,15288,2024-01-16
2421,4118,2024-10-01
2422,10059,2024-03-11
2423,14610,2024-09-17
2424,15777,2025-04-03
2425,14881,2024-10-18
2426,8374,2024-04-14
2427,9965,2024-12-18
2428,11987,2025-05-16
2429,11872,2023-01-08
2430,5865,2025-03-11
2431,5119,2025-03-11
2432,12975,2024-07-27
2433,4082,2025-04-14
2434,10454,2022-08-29
2435,3169,2024-12-15
2436,12125,2024-02-10
2437,17623,2024-04-09
2438,11890,2023-12-14
2439,1813,2024-11-16
2440,13288,2024-07-17
2441,16228,2025-03-02
2442,1947,2023-08-02
2443,1814,2022-11-03
2444,591,2024-09-01
2445,6359,2025-05-19
2446,7608,2025-05-05
2447,14894,2025-03-18
2448,3884,2024-12-12
2449,2220,2023-07-01
2450,3583,2025-02-14
2451,14075,2024-12-02
2452,18028,2025-05-06
2453,13629,2024-03-16
2454,5227,2023-07-07
2455,4568,2024-12-22
2456,3136,2023-06-28
2457,2948,2024-10-12
2458,18712,2025-05-02
2459,13763,2023-09-13
2460,9704,2024-08-06
2461,16479,2024-02-17
2462,10384,2023-03-02
2463,9430,2023-06-16
2464,9839,2024-11-20
2465,7290,2025-05-19
2466,1609,2024-08-05
2467,5786,2025-06-02
2468,12704,2024-11-06
2469,8890,2023-05-24
2470,3338,2024-12-16
2471,6786,2023-09-12
2472,13200,2022-08-22
2473,18235,2022-11-09
2474,12233,2024-10-17
2475,18363,2024-10-09
2476,12420,2025-06-20
2477,1095,2024-08-13
2478,5396,2025-04-16
2479,14252,2023-06-09
2480,9035,2024-12-25
2481,11768,2023-09-27
2482,805,2024-09-20
2483,6145,2025-03-05
2484,9761,2025-01-14
2485,15461,2023-10-27
2486,16848,2023-08-19
2487,16920,2024-04-19
2488,4747,2024-07-02
2489,140,2024-06-22
2490,6607,2024-09-05
2491,14739,2024-10-03
2492,5706,2023-06-28
2493,3120,2023-08-03
2494,13884,2025-01-30
2495,14171,2025-05-14
2496,12450,2024-03-13
2497,1060,2024-05-12
2498,8527,2024-11-07
2499,16485,2025-01-28
2500,1797,2024-07-25
2501,1903,2022-10-15
2502,10412,2024-10-01
2503,7204,2023-07-05
2504,18527,2025-02-28
2505,12425,2025-04-30
2506,2974,2024-09-07
2507,14904,2023-12-19
2508,3273,2024-09-01
2509,13808,2025-02-22
2510,239,2024-05-22
2511,594,2024-08-02
2512,10263,2023-05-21
2513,4363,2024-08-23
2514,3588,2024-11-21
2515,17799,2023-04-24
2516,2794,2024-05-08
2517,4910,2023-02-21
2518,18703,2024-05-13
2519,11635,2024-11-25
2520,14292,2024-10-29
2521,12801,2022-06-13
2522,7177,2025-02-26
2523,18634,2025-05-30
2524,446,2025-02-01
2525,14972,2023-11-30
2526,15638,2022-08-16
2527,6517,2023-04-15
2528,10948,2023-01-30
2529,3040,2024-03-31
2530,12467,2025-03-17
2531,4089,2023-09-09
2532,17744,2023-12-21
2533,7677,2025-04-11
2534,11871,2024-09-09
2535,16800,2025-02-24
2536,12325,2025-01-04
2537,18168,2024-10-24
2538,957,2023-05-08
2539,9266,2025-03-24
2540,8388,2024-09-16
2541,7653,2024-05-28
2542,16388,2024-03-18
2543,13320,2024-05-08
2544,17433,2025-04-24
2545,10757,2024-07-21
2546,9379,2023-02-11
2547,15263,2024-01-17
2548,9834,2025-01-16
2549,633,2025-05-24
2550,6197,2024-04-24
2551,18412,2024-12-07
2552,600,2023-01-21
2553,11611,2025-04-17
2554,16990,2024-12-14
2555,2619,2024-11-24
2556,14291,2022-08-23
2557,15973,2024-10-29
2558,3803,2022-06-21
2559,7518,2025-05-13
2560,2480,2022-06-20
2561,1459,2024-10-30
2562,18072,2022-11-06
2563,15917,2024-09-29
2564,18874,2023-08-07
2565,12849,2023-12-09
2566,12621,2023-11-12
2567,6951,2025-01-18
2568,10034,2024-09-02
2569,1629,2023-02-11
2570,7880,2024-04-17
2571,2136,2022-09-10
2572,6101,2024-11-02
2573,15002,2025-02-23
2574,11547,2023-05-06
2575,3637,2024-10-27
2576,7301,2024-08-07
2577,14769,2024-09-30
2578,7341,2022-11-19
2579,3150,2025-05-31
2580,11400,2025-03-19
2581,9986,2023-06-05
2582,15622,2024-12-19
2583,19053,2024-07-13
2584,6077,2024-08-29
2585,1685,2024-10-26
2586,7913,2025-03-15
2587,6166,2023-04-13
2588,8929,2024-10-24
2589,19227,2025-04-27
2590,5335,2023-12-14
2591,11946,2023-07-17
2592,6066,2024-03-18
2593,9640,2023-06-16
2594,4471,2025-01-25
2595,3207,2023-07-20
2596,791,2025-05-04
2597,16713,2024-10-03
2598,1485,2023-12-22
2599,17666,2024-08-25
2600,12752,2025-02-18
2601,9265,2025-01-17
2602,12184,2024-09-11
2603,3927,2023-11-10
2604,9413,2023-07-17
2605,8110,2024-08-05
2606,7955,2025-01-09
2607,16149,2024-07-31
2608,12795,2025-05-14
2609,5141,2022-11-14
2610,11777,2025-05-05
2611,1136,2024-07-23
2612,10250,2024-03-06
2613,4864,2025-05-28
2614,1079,2022-12-25
2615,13867,2022-11-17
2616,3551,2025-03-10
2617,9229,2025-02-26
2618,13873,2024-11-27
2619,4728,2024-06-17
2620,7407,2025-03-30
2621,17557,2025-05-09
2622,2818,2025-03-07
2623,900,2025-02-03
2624,14032,2025-01-18
2625,18836,2025-03-26
2626,7589,2024-07-31
2627,6025,2024-02-13
2628,17986,2024-12-30
2629,13669,2024-10-05
2630,540,2024-05-15
2631,12162,2022-10-13
2632,9118,2023-06-28
2633,15578,2025-03-03
2634,6598,2025-02-10
2635,18103,2025-02-15
2636,17703,2023-11-25
2637,872,2024-05-06
2638,1494,2024-12-04
2639,8845,2025-01-22
2640,16432,2024-09-06
2641,10770,2024-12-30
2642,3205,2024-11-25
2643,6453,2025-01-08
2644,8097,2023-12-21
2645,12362,2022-10-31
2646,12310,2024-07-26
2647,16207,2023-03-26
2648,46,2024-12-06
2649,4394,2025-04-15
2650,7366,2024-07-24
2651,14254,2023-01-25
2652,11713,2024-07-28
2653,3269,2024-08-31
2654,10478,2025-01-01
2655,14416,2023-12-22
2656,10223,2023-01-06
2657,6867,2025-04-15
2658,5116,2024-05-11
2659,5031,2023-06-08
2660,19119,2025-04-23
2661,13908,2024-07-19
2662,16594,2024-09-12
2663,7482,2023-11-16
2664,17642,2025-03-03
2665,7327,2024-09-05
2666,17005,2025-01-17
2667,17008,2025-01-27
2668,15407,2023-06-24
2669,10997,2024-09-11
2670,8172,2025-03-20
2671,8494,2024-05-04
2672,12985,2023-10-26
2673,19002,2024-08-14
2674,7485,2022-06-14
2675,18019,2025-05-04
2676,17122,2024-09-29
2677,13572,2024-10-06
2678,1520,2023-03-30
2679,12153,2023-04-23
2680,47,2024-06-06
2681,12619,2024-07-20
2682,399,2024-07-17
2683,10216,2025-05-18
2684,4269,2024-06-06
2685,18925,2022-07-28
2686,15527,2025-03-14
2687,4227,2023-01-31
2688,12298,2023-03-11
2689,4139,2024-10-12
2690,11581,2024-11-24
2691,8608,2023-06-06
2692,4074,2024-11-08
2693,18917,2025-03-02
2694,6983,2025-02-24
2695,8302,2025-03-11
2696,16557,2024-07-01
2697,7929,2024-11-21
2698,15943,2025-02-14
2699,16834,2024-11-13
2700,7840,2025-05-25
2701,10348,2025-05-30
2702,11624,2024-10-18
2703,4570,2024-07-01
2704,13598,2025-02-03
2705,666,2024-10-19
2706,12788,2024-08-08
2707,6952,2023-05-22
2708,14015,2025-01-01
2709,13337,2024-03-05
2710,157,2022-09-19
2711,1350,2025-05-18
2712,9370,2025-04-03
2713,1341,2024-11-06
2714,15235,2024-08-01
2715,14007,2025-04-28
2716,6311,2025-06-13
2717,347,2024-09-07
2718,7228,2024-12-03
2719,13701,2023-12-19
2720,18202,2025-02-28
2721,14564,2025-01-08
2722,17802,2022-12-14
2723,11667,2025-05-10
2724,2166,2024-10-09
2725,4535,2024-12-28
2726,6986,2023-11-22
2727,18972,2025-05-27
2728,14856,2024-11-07
2729,5356,2024-12-21
2730,8340,2025-01-13
2731,131,2023-02-24
2732,14815,2023-11-22
2733,4529,2024-08-25
2734,19234,2024-09-28
2735,19210,2025-02-17
2736,13930,2025-04-06
2737,17985,2023-09-20
2738,18456,2025-02-03
2739,5844,2024-12-18
2740,7540,2023-11-20
2741,7055,2024-12-30
2742,3985,2024-08-07
2743,14941,2023-11-10
2744,17934,2024-06-26
2745,16304,2024-07-29
2746,18355,2024-07-14
2747,3431,2025-02-13
2748,17192,2024-11-19
2749,5132,2025-01-29
2750,17738,2023-02-21
2751,11075,2025-04-28
2752,7870,2024-11-26
2753,10310,2024-09-02
2754,5287,2025-03-28
2755,1365,2025-02-25
2756,10452,2025-01-03
2757,13640,2024-10-16
2758,16784,2024-05-26
2759,10570,2022-08-14
2760,9048,2025-01-13
2761,12617,2024-10-27
2762,539,2025-02-12
