salesorderid,salesreasonid,modifieddate
43833,5,2022-06-28
43833,9,2022-06-28
43838,5,2022-06-29
43838,9,2022-06-29
43839,5,2022-06-29
43839,9,2022-06-29
43841,5,2022-06-29
43841,9,2022-06-29
43842,5,2022-06-29
43842,9,2022-06-29
43918,5,2022-06-30
43918,9,2022-06-30
43919,5,2022-06-30
43919,9,2022-06-30
43920,5,2022-06-30
43920,9,2022-06-30
43921,5,2022-06-30
43921,9,2022-06-30
43922,5,2022-06-30
43922,9,2022-06-30
43923,5,2022-07-01
43923,9,2022-07-01
43924,5,2022-07-01
43924,9,2022-07-01
43925,5,2022-07-01
43925,9,2022-07-01
43927,5,2022-07-02
43927,9,2022-07-02
43928,5,2022-07-02
43928,9,2022-07-02
43930,5,2022-07-03
43930,9,2022-07-03
43931,5,2022-07-03
43931,9,2022-07-03
43932,5,2022-07-03
43932,9,2022-07-03
43936,5,2022-07-04
43936,9,2022-07-04
43937,5,2022-07-04
43937,9,2022-07-04
43938,5,2022-07-04
43938,9,2022-07-04
43939,5,2022-07-04
43939,9,2022-07-04
43941,5,2022-07-05
43941,9,2022-07-05
43942,5,2022-07-05
43942,9,2022-07-05
43945,5,2022-07-05
43945,9,2022-07-05
43946,5,2022-07-05
43946,9,2022-07-05
43947,5,2022-07-05
43947,9,2022-07-05
43949,5,2022-07-06
43949,9,2022-07-06
43950,5,2022-07-06
43950,9,2022-07-06
43951,5,2022-07-06
43951,9,2022-07-06
43952,5,2022-07-06
43952,9,2022-07-06
43954,5,2022-07-07
43954,9,2022-07-07
43955,5,2022-07-07
43955,9,2022-07-07
43957,5,2022-07-08
43957,9,2022-07-08
43958,5,2022-07-08
43958,9,2022-07-08
43961,5,2022-07-09
43961,9,2022-07-09
43962,5,2022-07-09
43962,9,2022-07-09
43963,5,2022-07-09
43963,9,2022-07-09
43964,5,2022-07-09
43964,9,2022-07-09
43967,5,2022-07-10
43967,9,2022-07-10
43968,5,2022-07-10
43968,9,2022-07-10
43969,5,2022-07-10
43969,9,2022-07-10
43970,5,2022-07-10
43970,9,2022-07-10
43971,5,2022-07-10
43971,9,2022-07-10
43972,5,2022-07-11
43972,9,2022-07-11
43973,5,2022-07-11
43973,9,2022-07-11
43974,5,2022-07-11
43974,9,2022-07-11
43975,5,2022-07-11
43975,9,2022-07-11
43976,5,2022-07-11
43976,9,2022-07-11
43977,5,2022-07-11
43977,9,2022-07-11
43978,5,2022-07-12
43978,9,2022-07-12
43981,5,2022-07-12
43981,9,2022-07-12
43983,5,2022-07-13
43983,9,2022-07-13
43984,5,2022-07-13
43984,9,2022-07-13
43985,5,2022-07-13
43985,9,2022-07-13
43986,5,2022-07-13
43986,9,2022-07-13
43987,5,2022-07-14
43987,9,2022-07-14
43989,5,2022-07-14
43989,9,2022-07-14
43991,5,2022-07-14
43991,9,2022-07-14
43992,5,2022-07-14
43992,9,2022-07-14
43993,5,2022-07-16
43993,9,2022-07-16
43994,5,2022-07-17
43994,9,2022-07-17
43995,5,2022-07-17
43995,9,2022-07-17
43996,5,2022-07-17
43996,9,2022-07-17
43997,5,2022-07-17
43997,9,2022-07-17
43999,5,2022-07-17
43999,9,2022-07-17
44000,5,2022-07-18
44000,9,2022-07-18
44001,5,2022-07-18
44001,9,2022-07-18
44004,5,2022-07-18
44004,9,2022-07-18
44006,5,2022-07-18
44006,9,2022-07-18
44008,5,2022-07-19
44008,9,2022-07-19
44009,5,2022-07-19
44009,9,2022-07-19
44010,5,2022-07-19
44010,9,2022-07-19
44011,5,2022-07-19
44011,9,2022-07-19
44013,5,2022-07-19
44013,9,2022-07-19
44014,5,2022-07-20
44014,9,2022-07-20
44015,5,2022-07-20
44015,9,2022-07-20
44017,5,2022-07-20
44017,9,2022-07-20
44019,5,2022-07-20
44019,9,2022-07-20
44020,5,2022-07-20
44020,9,2022-07-20
44022,5,2022-07-21
44022,9,2022-07-21
44024,5,2022-07-21
44024,9,2022-07-21
44025,5,2022-07-21
44025,9,2022-07-21
44026,5,2022-07-21
44026,9,2022-07-21
44027,5,2022-07-22
44027,9,2022-07-22
44028,5,2022-07-22
44028,9,2022-07-22
44030,5,2022-07-23
44030,9,2022-07-23
44031,5,2022-07-23
44031,9,2022-07-23
44033,5,2022-07-23
44033,9,2022-07-23
44034,5,2022-07-23
44034,9,2022-07-23
44035,5,2022-07-23
44035,9,2022-07-23
44036,5,2022-07-23
44036,9,2022-07-23
44041,5,2022-07-24
44041,9,2022-07-24
44042,5,2022-07-25
44042,9,2022-07-25
44043,5,2022-07-25
44043,9,2022-07-25
44044,5,2022-07-25
44044,9,2022-07-25
44046,5,2022-07-25
44046,9,2022-07-25
44048,5,2022-07-25
44048,9,2022-07-25
44049,5,2022-07-26
44049,9,2022-07-26
44050,5,2022-07-26
44050,9,2022-07-26
44051,5,2022-07-27
44051,9,2022-07-27
44052,5,2022-07-27
44052,9,2022-07-27
44054,5,2022-07-28
44054,9,2022-07-28
44055,5,2022-07-28
44055,9,2022-07-28
44056,5,2022-07-28
44056,9,2022-07-28
44059,5,2022-07-28
44059,9,2022-07-28
44061,5,2022-07-29
44061,9,2022-07-29
44062,5,2022-07-29
44062,9,2022-07-29
44064,5,2022-07-29
44064,9,2022-07-29
44065,5,2022-07-29
44065,9,2022-07-29
44067,5,2022-07-29
44067,9,2022-07-29
44068,5,2022-07-30
44068,9,2022-07-30
44071,5,2022-07-30
44071,9,2022-07-30
44072,5,2022-07-30
44072,9,2022-07-30
44134,5,2022-07-31
44134,9,2022-07-31
44135,5,2022-07-31
44135,9,2022-07-31
44136,5,2022-07-31
44136,9,2022-07-31
44137,5,2022-07-31
44137,9,2022-07-31
44138,5,2022-08-01
44138,9,2022-08-01
44139,5,2022-08-01
44139,9,2022-08-01
44140,5,2022-08-01
44140,9,2022-08-01
44141,5,2022-08-01
44141,9,2022-08-01
44142,5,2022-08-01
44142,9,2022-08-01
44143,5,2022-08-01
44143,9,2022-08-01
44144,5,2022-08-01
44144,9,2022-08-01
44145,5,2022-08-01
44145,9,2022-08-01
44146,5,2022-08-01
44146,9,2022-08-01
44147,5,2022-08-01
44147,9,2022-08-01
44148,5,2022-08-02
44148,9,2022-08-02
44149,5,2022-08-02
44149,9,2022-08-02
44150,5,2022-08-02
44150,9,2022-08-02
44153,5,2022-08-03
44153,9,2022-08-03
44154,5,2022-08-03
44154,9,2022-08-03
44155,5,2022-08-03
44155,9,2022-08-03
44157,5,2022-08-03
44157,9,2022-08-03
44158,5,2022-08-04
44158,9,2022-08-04
44159,5,2022-08-04
44159,9,2022-08-04
44160,5,2022-08-04
44160,9,2022-08-04
44161,5,2022-08-05
44161,9,2022-08-05
44162,5,2022-08-05
44162,9,2022-08-05
44163,5,2022-08-05
44163,9,2022-08-05
44164,5,2022-08-05
44164,9,2022-08-05
44165,5,2022-08-05
44165,9,2022-08-05
44167,5,2022-08-05
44167,9,2022-08-05
44168,5,2022-08-06
44168,9,2022-08-06
44169,5,2022-08-06
44169,9,2022-08-06
44170,5,2022-08-06
44170,9,2022-08-06
44171,5,2022-08-06
44171,9,2022-08-06
44173,5,2022-08-07
44173,9,2022-08-07
44174,5,2022-08-07
44174,9,2022-08-07
44175,5,2022-08-07
44175,9,2022-08-07
44176,5,2022-08-08
44176,9,2022-08-08
44178,5,2022-08-08
44178,9,2022-08-08
44181,5,2022-08-08
44181,9,2022-08-08
44182,5,2022-08-08
44182,9,2022-08-08
44183,5,2022-08-09
44183,9,2022-08-09
44184,5,2022-08-09
44184,9,2022-08-09
44185,5,2022-08-09
44185,9,2022-08-09
44187,5,2022-08-11
44187,9,2022-08-11
44191,5,2022-08-12
44191,9,2022-08-12
44192,5,2022-08-13
44192,9,2022-08-13
44193,5,2022-08-13
44193,9,2022-08-13
44194,5,2022-08-13
44194,9,2022-08-13
44195,5,2022-08-13
44195,9,2022-08-13
44196,5,2022-08-13
44196,9,2022-08-13
44197,5,2022-08-14
44197,9,2022-08-14
44198,5,2022-08-14
44198,9,2022-08-14
44199,5,2022-08-14
44199,9,2022-08-14
44200,5,2022-08-14
44200,9,2022-08-14
44201,5,2022-08-15
44201,9,2022-08-15
44202,5,2022-08-15
44202,9,2022-08-15
44203,5,2022-08-15
44203,9,2022-08-15
44205,5,2022-08-15
44205,9,2022-08-15
44207,5,2022-08-16
44207,9,2022-08-16
44209,5,2022-08-16
44209,9,2022-08-16
44210,5,2022-08-17
44210,9,2022-08-17
44211,5,2022-08-17
44211,9,2022-08-17
44212,5,2022-08-17
44212,9,2022-08-17
44213,5,2022-08-17
44213,9,2022-08-17
44214,5,2022-08-17
44214,9,2022-08-17
44215,5,2022-08-18
44215,9,2022-08-18
44216,5,2022-08-18
44216,9,2022-08-18
44217,5,2022-08-18
44217,9,2022-08-18
44218,5,2022-08-18
44218,9,2022-08-18
44221,5,2022-08-18
44221,9,2022-08-18
44222,5,2022-08-18
44222,9,2022-08-18
44223,5,2022-08-19
44223,9,2022-08-19
44224,5,2022-08-19
44224,9,2022-08-19
44226,5,2022-08-20
44226,9,2022-08-20
44230,5,2022-08-20
44230,9,2022-08-20
44232,5,2022-08-20
44232,9,2022-08-20
44233,5,2022-08-21
44233,9,2022-08-21
44234,5,2022-08-21
44234,9,2022-08-21
44235,5,2022-08-21
44235,9,2022-08-21
44236,5,2022-08-21
44236,9,2022-08-21
44237,5,2022-08-21
44237,9,2022-08-21
44238,5,2022-08-21
44238,9,2022-08-21
44239,5,2022-08-22
44239,9,2022-08-22
44240,5,2022-08-22
44240,9,2022-08-22
44241,5,2022-08-22
44241,9,2022-08-22
44242,5,2022-08-22
44242,9,2022-08-22
44243,5,2022-08-22
44243,9,2022-08-22
44244,5,2022-08-22
44244,9,2022-08-22
44246,5,2022-08-23
44246,9,2022-08-23
44247,5,2022-08-23
44247,9,2022-08-23
44248,5,2022-08-23
44248,9,2022-08-23
44249,5,2022-08-24
44249,9,2022-08-24
44250,5,2022-08-24
44250,9,2022-08-24
44251,5,2022-08-24
44251,9,2022-08-24
44252,5,2022-08-25
44252,9,2022-08-25
44253,5,2022-08-25
44253,9,2022-08-25
44254,5,2022-08-25
44254,9,2022-08-25
44256,5,2022-08-25
44256,9,2022-08-25
44257,5,2022-08-26
44257,9,2022-08-26
44258,5,2022-08-26
44258,9,2022-08-26
44259,5,2022-08-26
44259,9,2022-08-26
44260,5,2022-08-26
44260,9,2022-08-26
44261,5,2022-08-26
44261,9,2022-08-26
44263,5,2022-08-26
44263,9,2022-08-26
44264,5,2022-08-26
44264,9,2022-08-26
44268,5,2022-08-27
44268,9,2022-08-27
44270,5,2022-08-29
44270,9,2022-08-29
44271,5,2022-08-29
44271,9,2022-08-29
44272,5,2022-08-29
44272,9,2022-08-29
44273,5,2022-08-29
44273,9,2022-08-29
44274,5,2022-08-29
44274,9,2022-08-29
44275,5,2022-08-29
44275,9,2022-08-29
44276,5,2022-08-29
44276,9,2022-08-29
44277,5,2022-08-29
44277,9,2022-08-29
44278,5,2022-08-29
44278,9,2022-08-29
44279,5,2022-08-29
44279,9,2022-08-29
44320,5,2022-08-30
44320,9,2022-08-30
44321,5,2022-08-30
44321,9,2022-08-30
44324,5,2022-08-31
44324,9,2022-08-31
44326,5,2022-08-31
44326,9,2022-08-31
44327,5,2022-09-01
44327,9,2022-09-01
44328,5,2022-09-01
44328,9,2022-09-01
44329,5,2022-09-01
44329,9,2022-09-01
44330,5,2022-09-01
44330,9,2022-09-01
44331,5,2022-09-02
44331,9,2022-09-02
44332,5,2022-09-02
44332,9,2022-09-02
44334,5,2022-09-03
44334,9,2022-09-03
44338,5,2022-09-03
44338,9,2022-09-03
44339,5,2022-09-03
44339,9,2022-09-03
44340,5,2022-09-03
44340,9,2022-09-03
44343,5,2022-09-04
44343,9,2022-09-04
44344,5,2022-09-05
44344,9,2022-09-05
44345,5,2022-09-05
44345,9,2022-09-05
44347,5,2022-09-05
44347,9,2022-09-05
44348,5,2022-09-06
44348,9,2022-09-06
44349,5,2022-09-06
44349,9,2022-09-06
44350,5,2022-09-06
44350,9,2022-09-06
44351,5,2022-09-06
44351,9,2022-09-06
44352,5,2022-09-06
44352,9,2022-09-06
44357,5,2022-09-06
44357,9,2022-09-06
44358,5,2022-09-06
44358,9,2022-09-06
44359,5,2022-09-07
44359,9,2022-09-07
44360,5,2022-09-07
44360,9,2022-09-07
44361,5,2022-09-07
44361,9,2022-09-07
44362,5,2022-09-07
44362,9,2022-09-07
44363,5,2022-09-07
44363,9,2022-09-07
44365,5,2022-09-07
44365,9,2022-09-07
44366,5,2022-09-07
44366,9,2022-09-07
44368,5,2022-09-08
44368,9,2022-09-08
44369,5,2022-09-08
44369,9,2022-09-08
44370,5,2022-09-08
44370,9,2022-09-08
44371,5,2022-09-08
44371,9,2022-09-08
44372,5,2022-09-08
44372,9,2022-09-08
44373,5,2022-09-09
44373,9,2022-09-09
44374,5,2022-09-09
44374,9,2022-09-09
44375,5,2022-09-09
44375,9,2022-09-09
44377,5,2022-09-09
44377,9,2022-09-09
44380,5,2022-09-09
44380,9,2022-09-09
44381,5,2022-09-10
44381,9,2022-09-10
44383,5,2022-09-10
44383,9,2022-09-10
44384,5,2022-09-10
44384,9,2022-09-10
44385,5,2022-09-10
44385,9,2022-09-10
44386,5,2022-09-10
44386,9,2022-09-10
44388,5,2022-09-10
44388,9,2022-09-10
44389,5,2022-09-10
44389,9,2022-09-10
44390,5,2022-09-10
44390,9,2022-09-10
44391,5,2022-09-10
44391,9,2022-09-10
44392,5,2022-09-10
44392,9,2022-09-10
44394,5,2022-09-11
44394,9,2022-09-11
44395,5,2022-09-11
44395,9,2022-09-11
44398,5,2022-09-11
44398,9,2022-09-11
44399,5,2022-09-12
44399,9,2022-09-12
44400,5,2022-09-12
44400,9,2022-09-12
44401,5,2022-09-12
44401,9,2022-09-12
44402,5,2022-09-13
44402,9,2022-09-13
44404,5,2022-09-14
44404,9,2022-09-14
44405,5,2022-09-14
44405,9,2022-09-14
44406,5,2022-09-14
44406,9,2022-09-14
44410,5,2022-09-15
44410,9,2022-09-15
44411,5,2022-09-15
44411,9,2022-09-15
44413,5,2022-09-16
44413,9,2022-09-16
44414,5,2022-09-16
44414,9,2022-09-16
44415,5,2022-09-16
44415,9,2022-09-16
44417,5,2022-09-16
44417,9,2022-09-16
44418,5,2022-09-16
44418,9,2022-09-16
44419,5,2022-09-16
44419,9,2022-09-16
44420,5,2022-09-16
44420,9,2022-09-16
44421,5,2022-09-17
44421,9,2022-09-17
44423,5,2022-09-17
44423,9,2022-09-17
44424,5,2022-09-17
44424,9,2022-09-17
44425,5,2022-09-17
44425,9,2022-09-17
44426,5,2022-09-18
44426,9,2022-09-18
44427,5,2022-09-18
44427,9,2022-09-18
44428,5,2022-09-18
44428,9,2022-09-18
44429,5,2022-09-18
44429,9,2022-09-18
44430,5,2022-09-18
44430,9,2022-09-18
44431,5,2022-09-18
44431,9,2022-09-18
44432,5,2022-09-19
44432,9,2022-09-19
44433,5,2022-09-19
44433,9,2022-09-19
44434,5,2022-09-19
44434,9,2022-09-19
44435,5,2022-09-20
44435,9,2022-09-20
44438,5,2022-09-20
44438,9,2022-09-20
44439,5,2022-09-21
44439,9,2022-09-21
44440,5,2022-09-21
44440,9,2022-09-21
44441,5,2022-09-21
44441,9,2022-09-21
44443,5,2022-09-21
44443,9,2022-09-21
44444,5,2022-09-23
44444,9,2022-09-23
44445,5,2022-09-24
44445,9,2022-09-24
44446,5,2022-09-24
44446,9,2022-09-24
44447,5,2022-09-25
44447,9,2022-09-25
44448,5,2022-09-25
44448,9,2022-09-25
44449,5,2022-09-25
44449,9,2022-09-25
44450,5,2022-09-25
44450,9,2022-09-25
44451,5,2022-09-25
44451,9,2022-09-25
44453,5,2022-09-25
44453,9,2022-09-25
44454,5,2022-09-25
44454,9,2022-09-25
44455,5,2022-09-25
44455,9,2022-09-25
44457,5,2022-09-26
44457,9,2022-09-26
44458,5,2022-09-26
44458,9,2022-09-26
44459,5,2022-09-26
44459,9,2022-09-26
44461,5,2022-09-26
44461,9,2022-09-26
44462,5,2022-09-27
44462,9,2022-09-27
44464,5,2022-09-27
44464,9,2022-09-27
44469,5,2022-09-27
44469,9,2022-09-27
44470,5,2022-09-27
44470,9,2022-09-27
44472,5,2022-09-28
44472,9,2022-09-28
44473,5,2022-09-28
44473,9,2022-09-28
44476,5,2022-09-28
44476,9,2022-09-28
44477,5,2022-09-28
44477,9,2022-09-28
44478,5,2022-09-28
44478,9,2022-09-28
44572,5,2022-09-30
44572,9,2022-09-30
44576,5,2022-09-30
44576,9,2022-09-30
44577,5,2022-10-01
44577,9,2022-10-01
44578,5,2022-10-01
44578,9,2022-10-01
44579,5,2022-10-01
44579,9,2022-10-01
44580,5,2022-10-02
44580,9,2022-10-02
44583,5,2022-10-02
44583,9,2022-10-02
44584,5,2022-10-03
44584,9,2022-10-03
44585,5,2022-10-03
44585,9,2022-10-03
44586,5,2022-10-03
44586,9,2022-10-03
44587,5,2022-10-03
44587,9,2022-10-03
44590,5,2022-10-04
44590,9,2022-10-04
44592,5,2022-10-04
44592,9,2022-10-04
44593,5,2022-10-04
44593,9,2022-10-04
44594,5,2022-10-04
44594,9,2022-10-04
44596,5,2022-10-04
44596,9,2022-10-04
44597,5,2022-10-05
44597,9,2022-10-05
44599,5,2022-10-05
44599,9,2022-10-05
44600,5,2022-10-05
44600,9,2022-10-05
44602,5,2022-10-06
44602,9,2022-10-06
44605,5,2022-10-06
44605,9,2022-10-06
44606,5,2022-10-06
44606,9,2022-10-06
44607,5,2022-10-06
44607,9,2022-10-06
44608,5,2022-10-06
44608,9,2022-10-06
44609,5,2022-10-06
44609,9,2022-10-06
44610,5,2022-10-06
44610,9,2022-10-06
44611,5,2022-10-07
44611,9,2022-10-07
44612,5,2022-10-07
44612,9,2022-10-07
44613,5,2022-10-07
44613,9,2022-10-07
44614,5,2022-10-07
44614,9,2022-10-07
44615,5,2022-10-07
44615,9,2022-10-07
44616,5,2022-10-07
44616,9,2022-10-07
44617,5,2022-10-07
44617,9,2022-10-07
44618,5,2022-10-07
44618,9,2022-10-07
44619,5,2022-10-08
44619,9,2022-10-08
44620,5,2022-10-08
44620,9,2022-10-08
44621,5,2022-10-08
44621,9,2022-10-08
44622,5,2022-10-08
44622,9,2022-10-08
44623,5,2022-10-09
44623,9,2022-10-09
44625,5,2022-10-09
44625,9,2022-10-09
44626,5,2022-10-09
44626,9,2022-10-09
44629,5,2022-10-09
44629,9,2022-10-09
44630,5,2022-10-10
44630,9,2022-10-10
44631,5,2022-10-10
44631,9,2022-10-10
44632,5,2022-10-10
44632,9,2022-10-10
44633,5,2022-10-10
44633,9,2022-10-10
44634,5,2022-10-10
44634,9,2022-10-10
44635,5,2022-10-10
44635,9,2022-10-10
44636,5,2022-10-11
44636,9,2022-10-11
44637,5,2022-10-11
44637,9,2022-10-11
44638,5,2022-10-11
44638,9,2022-10-11
44640,5,2022-10-11
44640,9,2022-10-11
44641,5,2022-10-11
44641,9,2022-10-11
44643,5,2022-10-12
44643,9,2022-10-12
44644,5,2022-10-12
44644,9,2022-10-12
44647,5,2022-10-12
44647,9,2022-10-12
44651,5,2022-10-13
44651,9,2022-10-13
44654,5,2022-10-13
44654,9,2022-10-13
44656,5,2022-10-13
44656,9,2022-10-13
44658,5,2022-10-13
44658,9,2022-10-13
44659,5,2022-10-13
44659,9,2022-10-13
44660,5,2022-10-14
44660,9,2022-10-14
44663,5,2022-10-14
44663,9,2022-10-14
44664,5,2022-10-14
44664,9,2022-10-14
44666,5,2022-10-15
44666,9,2022-10-15
44667,5,2022-10-15
44667,9,2022-10-15
44668,5,2022-10-15
44668,9,2022-10-15
44670,5,2022-10-15
44670,9,2022-10-15
44671,5,2022-10-15
44671,9,2022-10-15
44672,5,2022-10-15
44672,9,2022-10-15
44673,5,2022-10-16
44673,9,2022-10-16
44674,5,2022-10-16
44674,9,2022-10-16
44676,5,2022-10-16
44676,9,2022-10-16
44677,5,2022-10-17
44677,9,2022-10-17
44678,5,2022-10-17
44678,9,2022-10-17
44680,5,2022-10-18
44680,9,2022-10-18
44682,5,2022-10-18
44682,9,2022-10-18
44683,5,2022-10-18
44683,9,2022-10-18
44684,5,2022-10-18
44684,9,2022-10-18
44685,5,2022-10-18
44685,9,2022-10-18
44686,5,2022-10-19
44686,9,2022-10-19
44688,5,2022-10-19
44688,9,2022-10-19
44689,5,2022-10-19
44689,9,2022-10-19
44692,5,2022-10-20
44692,9,2022-10-20
44693,5,2022-10-20
44693,9,2022-10-20
44694,5,2022-10-20
44694,9,2022-10-20
44696,5,2022-10-20
44696,9,2022-10-20
44697,5,2022-10-21
44697,9,2022-10-21
44699,5,2022-10-22
44699,9,2022-10-22
44700,5,2022-10-22
44700,9,2022-10-22
44702,5,2022-10-22
44702,9,2022-10-22
44703,5,2022-10-23
44703,9,2022-10-23
44705,5,2022-10-23
44705,9,2022-10-23
44706,5,2022-10-23
44706,9,2022-10-23
44707,5,2022-10-23
44707,9,2022-10-23
44709,5,2022-10-23
44709,9,2022-10-23
44710,5,2022-10-24
44710,9,2022-10-24
44711,5,2022-10-24
44711,9,2022-10-24
44713,5,2022-10-25
44713,9,2022-10-25
44714,5,2022-10-25
44714,9,2022-10-25
44715,5,2022-10-25
44715,9,2022-10-25
44716,5,2022-10-25
44716,9,2022-10-25
44718,5,2022-10-25
44718,9,2022-10-25
44719,5,2022-10-26
44719,9,2022-10-26
44720,5,2022-10-26
44720,9,2022-10-26
44722,5,2022-10-27
44722,9,2022-10-27
44724,5,2022-10-27
44724,9,2022-10-27
44727,5,2022-10-27
44727,9,2022-10-27
44729,5,2022-10-28
44729,9,2022-10-28
44730,5,2022-10-28
44730,9,2022-10-28
44731,5,2022-10-28
44731,9,2022-10-28
44732,5,2022-10-28
44732,9,2022-10-28
44733,5,2022-10-28
44733,9,2022-10-28
44734,5,2022-10-29
44734,9,2022-10-29
44735,5,2022-10-29
44735,9,2022-10-29
44737,5,2022-10-29
44737,9,2022-10-29
44738,5,2022-10-29
44738,9,2022-10-29
44739,5,2022-10-29
44739,9,2022-10-29
44803,5,2022-10-30
44803,9,2022-10-30
44804,5,2022-10-30
44804,9,2022-10-30
44805,5,2022-10-30
44805,9,2022-10-30
44806,5,2022-10-30
44806,9,2022-10-30
44808,5,2022-10-31
44808,9,2022-10-31
44810,5,2022-10-31
44810,9,2022-10-31
44811,5,2022-10-31
44811,9,2022-10-31
44812,5,2022-10-31
44812,9,2022-10-31
44813,5,2022-10-31
44813,9,2022-10-31
44814,5,2022-10-31
44814,9,2022-10-31
44816,5,2022-11-01
44816,9,2022-11-01
44817,5,2022-11-01
44817,9,2022-11-01
44818,5,2022-11-01
44818,9,2022-11-01
44819,5,2022-11-01
44819,9,2022-11-01
44822,5,2022-11-01
44822,9,2022-11-01
44823,5,2022-11-01
44823,9,2022-11-01
44824,5,2022-11-01
44824,9,2022-11-01
44825,5,2022-11-01
44825,9,2022-11-01
44826,5,2022-11-02
44826,9,2022-11-02
44828,5,2022-11-02
44828,9,2022-11-02
44830,5,2022-11-02
44830,9,2022-11-02
44832,5,2022-11-03
44832,9,2022-11-03
44833,5,2022-11-03
44833,9,2022-11-03
44835,5,2022-11-03
