currencyrateid,currencyratedate,fromcurrencycode,tocurrencycode,averagerate,endofdayrate,modifieddate
87,2022-06-05,USD,GBP,0.6177,0.6179,2022-06-05 00:00:00.000
88,2022-06-05,USD,JPY,106.38,106.4479,2022-06-05 00:00:00.000
89,2022-06-05,USD,MXN,9.335,9.3439,2022-06-05 00:00:00.000
90,2022-06-05,USD,SAR,3.7509,3.7566,2022-06-05 00:00:00.000
91,2022-06-05,USD,VEB,636.25,636.2899,2022-06-05 00:00:00.000
92,2022-06-06,USD,ARS,1.0,0.9998,2022-06-06 00:00:00.000
93,2022-06-06,USD,AUD,1.5679,1.5678,2022-06-06 00:00:00.000
94,2022-06-06,USD,BRL,1.933,1.923,2022-06-06 00:00:00.000
95,2022-06-06,USD,CAD,1.4623,1.4604,2022-06-06 00:00:00.000
96,2022-06-06,USD,CNY,8.2784,8.2779,2022-06-06 00:00:00.000
97,2022-06-06,USD,DEM,1.8965,1.8957,2022-06-06 00:00:00.000
98,2022-06-06,USD,EUR,0.9697,0.969,2022-06-06 00:00:00.000
99,2022-06-06,USD,FRF,6.3605,6.3605,2022-06-06 00:00:00.000
100,2022-06-06,USD,GBP,0.6171,0.6163,2022-06-06 00:00:00.000
101,2022-06-06,USD,JPY,105.74,105.7159,2022-06-06 00:00:00.000
102,2022-06-06,USD,MXN,9.325,9.323,2022-06-06 00:00:00.000
103,2022-06-06,USD,SAR,3.7507,3.741,2022-06-06 00:00:00.000
104,2022-06-06,USD,VEB,636.3999,636.32,2022-06-06 00:00:00.000
105,2022-06-07,USD,ARS,1.0,1.0008,2022-06-07 00:00:00.000
106,2022-06-07,USD,AUD,1.5726,1.5734,2022-06-07 00:00:00.000
107,2022-06-07,USD,BRL,1.933,1.9339,2022-06-07 00:00:00.000
108,2022-06-07,USD,CAD,1.4658,1.4752,2022-06-07 00:00:00.000
109,2022-06-07,USD,CNY,8.2783,8.2786,2022-06-07 00:00:00.000
110,2022-06-07,USD,DEM,1.8967,1.8971,2022-06-07 00:00:00.000
111,2022-06-07,USD,EUR,0.9697,0.9706,2022-06-07 00:00:00.000
112,2022-06-07,USD,FRF,6.3611,6.3613,2022-06-07 00:00:00.000
113,2022-06-07,USD,GBP,0.6159,0.6163,2022-06-07 00:00:00.000
114,2022-06-07,USD,JPY,104.47,104.54,2022-06-07 00:00:00.000
115,2022-06-07,USD,MXN,9.3399,9.3399,2022-06-07 00:00:00.000
116,2022-06-07,USD,SAR,3.7507,3.7555,2022-06-07 00:00:00.000
117,2022-06-07,USD,VEB,636.75,636.84,2022-06-07 00:00:00.000
118,2022-06-08,USD,ARS,1.0,0.9998,2022-06-08 00:00:00.000
119,2022-06-08,USD,AUD,1.581,1.581,2022-06-08 00:00:00.000
120,2022-06-08,USD,BRL,1.929,1.9199,2022-06-08 00:00:00.000
121,2022-06-08,USD,CAD,1.4678,1.4588,2022-06-08 00:00:00.000
122,2022-06-08,USD,CNY,8.2783,8.2779,2022-06-08 00:00:00.000
123,2022-06-08,USD,DEM,1.9117,1.9109,2022-06-08 00:00:00.000
124,2022-06-08,USD,EUR,0.9774,0.977,2022-06-08 00:00:00.000
125,2022-06-08,USD,FRF,6.4115,6.4109,2022-06-08 00:00:00.000
126,2022-06-08,USD,GBP,0.6191,0.6189,2022-06-08 00:00:00.000
127,2022-06-08,USD,JPY,104.56,104.548,2022-06-08 00:00:00.000
128,2022-06-08,USD,MXN,9.307,9.2989,2022-06-08 00:00:00.000
129,2022-06-08,USD,SAR,3.7507,3.7502,2022-06-08 00:00:00.000
130,2022-06-08,USD,VEB,637.25,637.1699,2022-06-08 00:00:00.000
131,2022-06-09,USD,ARS,1.0,1.0004,2022-06-09 00:00:00.000
132,2022-06-09,USD,AUD,1.5768,1.5772,2022-06-09 00:00:00.000
133,2022-06-09,USD,BRL,1.9299,1.931,2022-06-09 00:00:00.000
134,2022-06-09,USD,CAD,1.4679,1.4738,2022-06-09 00:00:00.000
135,2022-06-09,USD,CNY,8.237,8.2379,2022-06-09 00:00:00.000
136,2022-06-09,USD,DEM,1.9192,1.9194,2022-06-09 00:00:00.000
137,2022-06-09,USD,EUR,0.9812,0.9812,2022-06-09 00:00:00.000
138,2022-06-09,USD,FRF,6.4366,6.4366,2022-06-09 00:00:00.000
139,2022-06-09,USD,GBP,0.6202,0.621,2022-06-09 00:00:00.000
140,2022-06-09,USD,JPY,104.41,104.459,2022-06-09 00:00:00.000
141,2022-06-09,USD,MXN,9.31,9.3109,2022-06-09 00:00:00.000
142,2022-06-09,USD,SAR,3.7507,3.7597,2022-06-09 00:00:00.000
143,2022-06-09,USD,VEB,637.5,637.57,2022-06-09 00:00:00.000
144,2022-06-10,USD,ARS,1.0,0.9991,2022-06-10 00:00:00.000
145,2022-06-10,USD,AUD,1.5701,1.5694,2022-06-10 00:00:00.000
146,2022-06-10,USD,BRL,1.9265,1.9219,2022-06-10 00:00:00.000
147,2022-06-10,USD,CAD,1.4672,1.4662,2022-06-10 00:00:00.000
148,2022-06-10,USD,CNY,8.237,8.2369,2022-06-10 00:00:00.000
149,2022-06-10,USD,DEM,1.9292,1.9287,2022-06-10 00:00:00.000
150,2022-06-10,USD,EUR,0.9864,0.9859,2022-06-10 00:00:00.000
151,2022-06-10,USD,FRF,6.4702,6.4695,2022-06-10 00:00:00.000
152,2022-06-10,USD,GBP,0.6208,0.62,2022-06-10 00:00:00.000
153,2022-06-10,USD,JPY,103.99,103.909,2022-06-10 00:00:00.000
154,2022-06-10,USD,MXN,9.3599,9.352,2022-06-10 00:00:00.000
155,2022-06-10,USD,SAR,3.7505,3.7492,2022-06-10 00:00:00.000
156,2022-06-10,USD,VEB,637.75,637.75,2022-06-10 00:00:00.000
157,2022-06-11,USD,ARS,1.0,1.0004,2022-06-11 00:00:00.000
158,2022-06-11,USD,AUD,1.5686,1.5687,2022-06-11 00:00:00.000
159,2022-06-11,USD,BRL,1.9239,1.927,2022-06-11 00:00:00.000
160,2022-06-11,USD,CAD,1.4678,1.4714,2022-06-11 00:00:00.000
161,2022-06-11,USD,CNY,8.237,8.2373,2022-06-11 00:00:00.000
162,2022-06-11,USD,DEM,1.9231,1.9236,2022-06-11 00:00:00.000
163,2022-06-11,USD,EUR,0.9832,0.9834,2022-06-11 00:00:00.000
164,2022-06-11,USD,FRF,6.4499,6.4505,2022-06-11 00:00:00.000
165,2022-06-11,USD,GBP,0.6231,0.6232,2022-06-11 00:00:00.000
166,2022-06-11,USD,JPY,101.85,101.923,2022-06-11 00:00:00.000
167,2022-06-11,USD,MXN,9.3599,9.3599,2022-06-11 00:00:00.000
168,2022-06-11,USD,SAR,3.7507,3.7524,2022-06-11 00:00:00.000
169,2022-06-11,USD,VEB,638.5,638.58,2022-06-11 00:00:00.000
170,2022-06-12,USD,ARS,1.0,0.9992,2022-06-12 00:00:00.000
171,2022-06-12,USD,AUD,1.5769,1.5767,2022-06-12 00:00:00.000
172,2022-06-12,USD,BRL,1.9239,1.9179,2022-06-12 00:00:00.000
173,2022-06-12,USD,CAD,1.4683,1.4644,2022-06-12 00:00:00.000
174,2022-06-12,USD,CNY,8.237,8.2367,2022-06-12 00:00:00.000
175,2022-06-12,USD,DEM,1.9265,1.9262,2022-06-12 00:00:00.000
176,2022-06-12,USD,EUR,0.9849,0.9844,2022-06-12 00:00:00.000
177,2022-06-12,USD,FRF,6.4614,6.4607,2022-06-12 00:00:00.000
178,2022-06-12,USD,GBP,0.6229,0.6227,2022-06-12 00:00:00.000
179,2022-06-12,USD,JPY,102.55,102.4929,2022-06-12 00:00:00.000
180,2022-06-12,USD,MXN,9.3599,9.358,2022-06-12 00:00:00.000
181,2022-06-12,USD,SAR,3.7507,3.7448,2022-06-12 00:00:00.000
182,2022-06-12,USD,VEB,638.5,638.4199,2022-06-12 00:00:00.000
183,2022-06-13,USD,ARS,1.0,1.0007,2022-06-13 00:00:00.000
184,2022-06-13,USD,AUD,1.5708,1.5708,2022-06-13 00:00:00.000
185,2022-06-13,USD,BRL,1.9239,1.925,2022-06-13 00:00:00.000
186,2022-06-13,USD,CAD,1.4724,1.4738,2022-06-13 00:00:00.000
187,2022-06-13,USD,CNY,8.237,8.2375,2022-06-13 00:00:00.000
188,2022-06-13,USD,DEM,1.9345,1.9353,2022-06-13 00:00:00.000
189,2022-06-13,USD,EUR,0.989,0.9897,2022-06-13 00:00:00.000
190,2022-06-13,USD,FRF,6.4882,6.4886,2022-06-13 00:00:00.000
191,2022-06-13,USD,GBP,0.6238,0.6243,2022-06-13 00:00:00.000
192,2022-06-13,USD,JPY,102.33,102.394,2022-06-13 00:00:00.000
193,2022-06-13,USD,MXN,9.3499,9.351,2022-06-13 00:00:00.000
194,2022-06-13,USD,SAR,3.7505,3.7595,2022-06-13 00:00:00.000
195,2022-06-13,USD,VEB,638.5,638.5299,2022-06-13 00:00:00.000
196,2022-06-14,USD,ARS,1.0,0.999,2022-06-14 00:00:00.000
197,2022-06-14,USD,AUD,1.5741,1.5739,2022-06-14 00:00:00.000
198,2022-06-14,USD,BRL,1.9239,1.9139,2022-06-14 00:00:00.000
199,2022-06-14,USD,CAD,1.4742,1.4723,2022-06-14 00:00:00.000
200,2022-06-14,USD,CNY,8.237,8.2367,2022-06-14 00:00:00.000
201,2022-06-14,USD,DEM,1.9393,1.9391,2022-06-14 00:00:00.000
202,2022-06-14,USD,EUR,0.9916,0.9907,2022-06-14 00:00:00.000
203,2022-06-14,USD,FRF,6.5042,6.5038,2022-06-14 00:00:00.000
204,2022-06-14,USD,GBP,0.6256,0.6247,2022-06-14 00:00:00.000
205,2022-06-14,USD,JPY,102.09,102.055,2022-06-14 00:00:00.000
206,2022-06-14,USD,MXN,9.3499,9.343,2022-06-14 00:00:00.000
207,2022-06-14,USD,SAR,3.7505,3.7496,2022-06-14 00:00:00.000
208,2022-06-14,USD,VEB,638.5,638.5,2022-06-14 00:00:00.000
209,2022-06-15,USD,ARS,1.0,1.0007,2022-06-15 00:00:00.000
210,2022-06-15,USD,AUD,1.5706,1.5712,2022-06-15 00:00:00.000
211,2022-06-15,USD,BRL,1.9239,1.933,2022-06-15 00:00:00.000
212,2022-06-15,USD,CAD,1.4744,1.4755,2022-06-15 00:00:00.000
213,2022-06-15,USD,CNY,8.237,8.2372,2022-06-15 00:00:00.000
214,2022-06-15,USD,DEM,1.9378,1.9379,2022-06-15 00:00:00.000
215,2022-06-15,USD,EUR,0.9908,0.9911,2022-06-15 00:00:00.000
216,2022-06-15,USD,FRF,6.4991,6.4999,2022-06-15 00:00:00.000
217,2022-06-15,USD,GBP,0.6252,0.6256,2022-06-15 00:00:00.000
218,2022-06-15,USD,JPY,102.34,102.406,2022-06-15 00:00:00.000
219,2022-06-15,USD,MXN,9.3499,9.3499,2022-06-15 00:00:00.000
220,2022-06-15,USD,SAR,3.7505,3.7545,2022-06-15 00:00:00.000
221,2022-06-15,USD,VEB,638.5,638.5499,2022-06-15 00:00:00.000
222,2022-06-16,USD,ARS,1.0,0.9991,2022-06-16 00:00:00.000
223,2022-06-16,USD,AUD,1.5792,1.5786,2022-06-16 00:00:00.000
224,2022-06-16,USD,BRL,1.9239,1.9219,2022-06-16 00:00:00.000
225,2022-06-16,USD,CAD,1.48,1.4702,2022-06-16 00:00:00.000
226,2022-06-16,USD,CNY,8.237,8.237,2022-06-16 00:00:00.000
227,2022-06-16,USD,DEM,1.9443,1.9441,2022-06-16 00:00:00.000
228,2022-06-16,USD,EUR,0.994,0.9939,2022-06-16 00:00:00.000
229,2022-06-16,USD,FRF,6.521,6.5208,2022-06-16 00:00:00.000
230,2022-06-16,USD,GBP,0.6254,0.6248,2022-06-16 00:00:00.000
231,2022-06-16,USD,JPY,102.57,102.542,2022-06-16 00:00:00.000
232,2022-06-16,USD,MXN,9.3499,9.348,2022-06-16 00:00:00.000
233,2022-06-16,USD,SAR,3.7505,3.7442,2022-06-16 00:00:00.000
234,2022-06-16,USD,VEB,638.5,638.48,2022-06-16 00:00:00.000
235,2022-06-17,USD,ARS,1.0,1.0001,2022-06-17 00:00:00.000
236,2022-06-17,USD,AUD,1.5823,1.5831,2022-06-17 00:00:00.000
237,2022-06-17,USD,BRL,1.9239,1.933,2022-06-17 00:00:00.000
238,2022-06-17,USD,CAD,1.4802,1.4861,2022-06-17 00:00:00.000
239,2022-06-17,USD,CNY,8.237,8.2378,2022-06-17 00:00:00.000
240,2022-06-17,USD,DEM,1.9531,1.9531,2022-06-17 00:00:00.000
241,2022-06-17,USD,EUR,0.9986,0.999,2022-06-17 00:00:00.000
242,2022-06-17,USD,FRF,6.5503,6.5511,2022-06-17 00:00:00.000
243,2022-06-17,USD,GBP,0.6248,0.6254,2022-06-17 00:00:00.000
244,2022-06-17,USD,JPY,102.47,102.477,2022-06-17 00:00:00.000
245,2022-06-17,USD,MXN,9.3499,9.358,2022-06-17 00:00:00.000
246,2022-06-17,USD,SAR,3.7505,3.7578,2022-06-17 00:00:00.000
247,2022-06-17,USD,VEB,638.5,638.5099,2022-06-17 00:00:00.000
248,2022-06-18,USD,ARS,1.0,0.9993,2022-06-18 00:00:00.000
249,2022-06-18,USD,AUD,1.5825,1.5822,2022-06-18 00:00:00.000
250,2022-06-18,USD,BRL,1.9239,1.9179,2022-06-18 00:00:00.000
251,2022-06-18,USD,CAD,1.4823,1.4817,2022-06-18 00:00:00.000
252,2022-06-18,USD,CNY,8.237,8.2367,2022-06-18 00:00:00.000
253,2022-06-18,USD,DEM,1.9519,1.9516,2022-06-18 00:00:00.000
254,2022-06-18,USD,EUR,0.998,0.9973,2022-06-18 00:00:00.000
255,2022-06-18,USD,FRF,6.5465,6.5456,2022-06-18 00:00:00.000
256,2022-06-18,USD,GBP,0.6248,0.6245,2022-06-18 00:00:00.000
257,2022-06-18,USD,JPY,102.85,102.784,2022-06-18 00:00:00.000
258,2022-06-18,USD,MXN,9.3499,9.345,2022-06-18 00:00:00.000
259,2022-06-18,USD,SAR,3.7505,3.7482,2022-06-18 00:00:00.000
260,2022-06-18,USD,VEB,638.5,638.4299,2022-06-18 00:00:00.000
261,2022-06-19,USD,ARS,1.0,1.0004,2022-06-19 00:00:00.000
262,2022-06-19,USD,AUD,1.5808,1.5817,2022-06-19 00:00:00.000
263,2022-06-19,USD,BRL,1.9239,1.9279,2022-06-19 00:00:00.000
264,2022-06-19,USD,CAD,1.4795,1.4872,2022-06-19 00:00:00.000
265,2022-06-19,USD,CNY,8.237,8.237,2022-06-19 00:00:00.000
266,2022-06-19,USD,DEM,1.951,1.9511,2022-06-19 00:00:00.000
267,2022-06-19,USD,EUR,0.9975,0.9977,2022-06-19 00:00:00.000
268,2022-06-19,USD,FRF,6.5431,6.5434,2022-06-19 00:00:00.000
269,2022-06-19,USD,GBP,0.6245,0.6251,2022-06-19 00:00:00.000
270,2022-06-19,USD,JPY,102.705,102.803,2022-06-19 00:00:00.000
271,2022-06-19,USD,MXN,9.3499,9.352,2022-06-19 00:00:00.000
272,2022-06-19,USD,SAR,3.7505,3.753,2022-06-19 00:00:00.000
273,2022-06-19,USD,VEB,638.5,638.5499,2022-06-19 00:00:00.000
274,2022-06-20,USD,ARS,1.0,0.9995,2022-06-20 00:00:00.000
275,2022-06-20,USD,AUD,1.58,1.579,2022-06-20 00:00:00.000
276,2022-06-20,USD,BRL,1.9239,1.9179,2022-06-20 00:00:00.000
277,2022-06-20,USD,CAD,1.4799,1.4701,2022-06-20 00:00:00.000
278,2022-06-20,USD,CNY,8.237,8.237,2022-06-20 00:00:00.000
279,2022-06-20,USD,DEM,1.9271,1.9266,2022-06-20 00:00:00.000
280,2022-06-20,USD,EUR,0.9852,0.9848,2022-06-20 00:00:00.000
281,2022-06-20,USD,FRF,6.4633,6.4631,2022-06-20 00:00:00.000
282,2022-06-20,USD,GBP,0.6211,0.6201,2022-06-20 00:00:00.000
283,2022-06-20,USD,JPY,102.43,102.398,2022-06-20 00:00:00.000
284,2022-06-20,USD,MXN,9.3499,9.3439,2022-06-20 00:00:00.000
285,2022-06-20,USD,SAR,3.7505,3.7503,2022-06-20 00:00:00.000
286,2022-06-20,USD,VEB,638.5,638.46,2022-06-20 00:00:00.000
287,2022-06-21,USD,ARS,1.0,1.0004,2022-06-21 00:00:00.000
288,2022-06-21,USD,AUD,1.5736,1.5739,2022-06-21 00:00:00.000
289,2022-06-21,USD,BRL,1.9239,1.927,2022-06-21 00:00:00.000
290,2022-06-21,USD,CAD,1.475,1.4793,2022-06-21 00:00:00.000
291,2022-06-21,USD,CNY,8.237,8.2373,2022-06-21 00:00:00.000
292,2022-06-21,USD,DEM,1.9128,1.9135,2022-06-21 00:00:00.000
293,2022-06-21,USD,EUR,0.9779,0.9782,2022-06-21 00:00:00.000
294,2022-06-21,USD,FRF,6.4151,6.4154,2022-06-21 00:00:00.000
295,2022-06-21,USD,GBP,0.6159,0.6163,2022-06-21 00:00:00.000
296,2022-06-21,USD,JPY,102.8,102.849,2022-06-21 00:00:00.000
297,2022-06-21,USD,MXN,9.4649,9.4749,2022-06-21 00:00:00.000
298,2022-06-21,USD,SAR,3.7505,3.758,2022-06-21 00:00:00.000
299,2022-06-21,USD,VEB,638.5,638.57,2022-06-21 00:00:00.000
300,2022-06-22,USD,ARS,1.0,0.999,2022-06-22 00:00:00.000
301,2022-06-22,USD,AUD,1.5686,1.5685,2022-06-22 00:00:00.000
302,2022-06-22,USD,BRL,1.866,1.865,2022-06-22 00:00:00.000
303,2022-06-22,USD,CAD,1.4785,1.4717,2022-06-22 00:00:00.000
304,2022-06-22,USD,CNY,8.237,8.2368,2022-06-22 00:00:00.000
305,2022-06-22,USD,DEM,1.9085,1.9079,2022-06-22 00:00:00.000
306,2022-06-22,USD,EUR,0.9758,0.9754,2022-06-22 00:00:00.000
307,2022-06-22,USD,FRF,6.4008,6.4002,2022-06-22 00:00:00.000
308,2022-06-22,USD,GBP,0.6149,0.614,2022-06-22 00:00:00.000
309,2022-06-22,USD,JPY,102.815,102.77,2022-06-22 00:00:00.000
310,2022-06-22,USD,MXN,9.4619,9.461,2022-06-22 00:00:00.000
311,2022-06-22,USD,SAR,3.7507,3.7458,2022-06-22 00:00:00.000
312,2022-06-22,USD,VEB,642.0099,642.0,2022-06-22 00:00:00.000
313,2022-06-23,USD,ARS,1.0,1.0,2022-06-23 00:00:00.000
314,2022-06-23,USD,AUD,1.5649,1.5653,2022-06-23 00:00:00.000
315,2022-06-23,USD,BRL,1.868,1.87,2022-06-23 00:00:00.000
316,2022-06-23,USD,CAD,1.4757,1.4832,2022-06-23 00:00:00.000
317,2022-06-23,USD,CNY,8.237,8.2377,2022-06-23 00:00:00.000
318,2022-06-23,USD,DEM,1.915,1.9153,2022-06-23 00:00:00.000
319,2022-06-23,USD,EUR,0.979,0.9795,2022-06-23 00:00:00.000
320,2022-06-23,USD,FRF,6.4227,6.423,2022-06-23 00:00:00.000
321,2022-06-23,USD,GBP,0.6156,0.6158,2022-06-23 00:00:00.000
322,2022-06-23,USD,JPY,102.96,103.044,2022-06-23 00:00:00.000
323,2022-06-23,USD,MXN,9.435,9.442,2022-06-23 00:00:00.000
324,2022-06-23,USD,SAR,3.7507,3.7597,2022-06-23 00:00:00.000
325,2022-06-23,USD,VEB,642.5,642.58,2022-06-23 00:00:00.000
326,2022-06-24,USD,ARS,0.9996,0.9989,2022-06-24 00:00:00.000
327,2022-06-24,USD,AUD,1.5752,1.5745,2022-06-24 00:00:00.000
328,2022-06-24,USD,BRL,1.866,1.861,2022-06-24 00:00:00.000
329,2022-06-24,USD,CAD,1.4779,1.4725,2022-06-24 00:00:00.000
330,2022-06-24,USD,CNY,8.237,8.237,2022-06-24 00:00:00.000
331,2022-06-24,USD,DEM,1.9271,1.9265,2022-06-24 00:00:00.000
332,2022-06-24,USD,EUR,0.9852,0.9847,2022-06-24 00:00:00.000
333,2022-06-24,USD,FRF,6.4633,6.4631,2022-06-24 00:00:00.000
334,2022-06-24,USD,GBP,0.6161,0.6159,2022-06-24 00:00:00.000
335,2022-06-24,USD,JPY,102.42,102.408,2022-06-24 00:00:00.000
336,2022-06-24,USD,MXN,9.4124,9.4079,2022-06-24 00:00:00.000
337,2022-06-24,USD,SAR,3.7505,3.7412,2022-06-24 00:00:00.000
338,2022-06-24,USD,VEB,642.75,642.73,2022-06-24 00:00:00.000
339,2022-06-25,USD,ARS,0.9996,0.9997,2022-06-25 00:00:00.000
340,2022-06-25,USD,AUD,1.5768,1.577,2022-06-25 00:00:00.000
341,2022-06-25,USD,BRL,1.864,1.869,2022-06-25 00:00:00.000
342,2022-06-25,USD,CAD,1.479,1.4806,2022-06-25 00:00:00.000
343,2022-06-25,USD,CNY,8.237,8.2376,2022-06-25 00:00:00.000
344,2022-06-25,USD,DEM,1.9301,1.9311,2022-06-25 00:00:00.000
